order_details_id,order_id,pizza_id,quantity
1,1,p_37,1
2,1,p_32,3
3,1,p_37,2
4,2,p_6,1
5,2,p_2,2
6,2,p_35,2
7,3,p_20,3
8,3,p_28,2
9,3,p_4,2
10,3,p_29,2
11,4,p_38,2
12,4,p_26,3
13,5,p_17,2
14,5,p_20,3
15,5,p_31,2
16,5,p_25,1
17,6,p_18,1
18,6,p_11,2
19,6,p_25,3
20,6,p_37,1
21,7,p_37,2
22,7,p_30,1
23,7,p_17,1
24,8,p_9,3
25,8,p_20,2
26,8,p_31,2
27,9,p_27,3
28,9,p_5,3
29,9,p_13,2
30,9,p_26,1
31,10,p_32,2
32,10,p_5,2
33,10,p_5,1
34,10,p_9,3
35,11,p_10,3
36,11,p_1,2
37,11,p_31,2
38,12,p_5,1
39,13,p_28,2
40,13,p_11,3
41,13,p_40,3
42,13,p_23,3
43,14,p_24,1
44,14,p_27,1
45,15,p_39,1
46,15,p_12,1
47,15,p_13,1
48,15,p_4,1
49,16,p_3,2
50,16,p_15,2
51,16,p_31,3
52,17,p_12,3
53,18,p_30,3
54,18,p_21,2
55,19,p_7,2
56,19,p_32,2
57,19,p_15,1
58,20,p_36,3
59,20,p_33,2
60,21,p_2,2
61,21,p_8,3
62,21,p_6,2
63,21,p_12,1
64,22,p_26,1
65,23,p_14,2
66,23,p_32,3
67,24,p_30,3
68,24,p_24,1
69,24,p_19,2
70,24,p_28,2
71,25,p_11,1
72,25,p_23,3
73,25,p_8,2
74,25,p_24,3
75,26,p_14,1
76,26,p_35,1
77,26,p_28,1
78,26,p_20,1
79,27,p_39,1
80,27,p_12,3
81,27,p_24,2
82,27,p_24,1
83,28,p_30,3
84,28,p_3,2
85,28,p_7,3
86,29,p_10,3
87,30,p_33,2
88,30,p_37,1
89,30,p_28,3
90,31,p_12,2
91,31,p_21,3
92,32,p_20,1
93,32,p_35,1
94,33,p_27,1
95,33,p_14,2
96,34,p_18,2
97,35,p_26,2
98,35,p_35,3
99,35,p_13,1
100,36,p_30,1
101,37,p_12,2
102,37,p_22,3
103,37,p_23,3
104,38,p_16,3
105,38,p_30,2
106,38,p_12,2
107,38,p_26,3
108,39,p_7,1
109,40,p_31,3
110,40,p_13,1
111,40,p_34,2
112,41,p_15,3
113,41,p_29,3
114,41,p_23,2
115,41,p_28,1
116,42,p_22,1
117,42,p_7,2
118,43,p_36,1
119,44,p_21,2
120,44,p_30,1
121,45,p_7,2
122,45,p_27,3
123,46,p_5,2
124,46,p_2,3
125,47,p_32,1
126,47,p_38,2
127,47,p_5,1
128,48,p_25,1
129,48,p_10,3
130,48,p_20,2
131,49,p_32,3
132,50,p_4,3
133,50,p_36,3
134,51,p_18,1
135,51,p_9,3
136,52,p_10,3
137,52,p_34,1
138,52,p_26,1
139,53,p_6,1
140,54,p_21,3
141,54,p_7,1
142,54,p_36,3
143,55,p_40,3
144,55,p_1,3
145,55,p_23,1
146,55,p_34,2
147,56,p_18,3
148,56,p_21,2
149,56,p_36,2
150,57,p_10,3
151,57,p_6,2
152,58,p_3,2
153,58,p_9,1
154,58,p_17,3
155,59,p_22,1
156,60,p_35,2
157,60,p_14,2
158,60,p_40,2
159,60,p_13,1
160,61,p_34,3
161,61,p_30,1
162,61,p_17,2
163,62,p_37,3
164,62,p_1,2
165,62,p_31,2
166,63,p_20,2
167,63,p_18,3
168,64,p_5,2
169,65,p_4,2
170,65,p_3,1
171,66,p_5,2
172,66,p_13,1
173,66,p_20,1
174,67,p_24,1
175,68,p_3,2
176,68,p_19,3
177,68,p_8,2
178,69,p_19,1
179,69,p_1,2
180,70,p_20,1
181,70,p_2,1
182,70,p_37,2
183,71,p_36,2
184,71,p_3,2
185,71,p_31,2
186,71,p_31,1
187,72,p_25,2
188,73,p_9,1
189,73,p_36,1
190,73,p_28,3
191,73,p_20,2
192,74,p_33,1
193,75,p_33,2
194,75,p_19,3
195,75,p_16,3
196,76,p_37,2
197,76,p_8,3
198,76,p_16,1
199,76,p_23,1
200,77,p_25,1
201,77,p_15,2
202,77,p_16,3
203,77,p_31,2
204,78,p_8,2
205,78,p_3,1
206,78,p_11,2
207,78,p_19,1
208,79,p_11,2
209,79,p_38,3
210,80,p_25,1
211,80,p_5,2
212,80,p_13,3
213,81,p_5,3
214,81,p_2,2
215,81,p_25,3
216,81,p_17,3
217,82,p_8,1
