pizza_id,pizza_type_id,size,price
p_1,pt_1,S,157
p_2,pt_1,M,204
p_3,pt_1,L,251
p_4,pt_1,XL,314
p_5,pt_2,S,173
p_6,pt_2,M,224
p_7,pt_2,L,276
p_8,pt_2,XL,346
p_9,pt_3,S,205
p_10,pt_3,M,266
p_11,pt_3,L,328
p_12,pt_3,XL,410
p_13,pt_4,S,209
p_14,pt_4,M,271
p_15,pt_4,L,334
p_16,pt_4,XL,418
p_17,pt_5,S,279
p_18,pt_5,M,362
p_19,pt_5,L,446
p_20,pt_5,XL,558
p_21,pt_6,S,304
p_22,pt_6,M,395
p_23,pt_6,L,486
p_24,pt_6,XL,608
p_25,pt_7,S,156
p_26,pt_7,M,202
p_27,pt_7,L,249
p_28,pt_7,XL,312
p_29,pt_8,S,293
p_30,pt_8,M,380
p_31,pt_8,L,468
p_32,pt_8,XL,586
p_33,pt_9,S,200
p_34,pt_9,M,260
p_35,pt_9,L,320
p_36,pt_9,XL,400
p_37,pt_10,S,333
p_38,pt_10,M,432
p_39,pt_10,L,532
p_40,pt_10,XL,666
